id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000a28y,1000,1300,1000,03456018,32.147,35.16,37.841,3100,31001_2720,5.694,Quendorf,NA,NA,79.30078125,345.30545135404407
DENILD800000gYPY,1000,1300,1000,03456010,32.472,37.843,43.37,3100,31001_2000,10.898,Isterberg,NA,NA,83.1103515625,4619.439872922698
DENILD800000gYHl,1000,1300,1000,03456010,32.388,38.395,41.382,3100,31001_1000,8.994,Isterberg,1,Neerlager Postdamm,166.5419921875,1249.183452915295
DENILD800000jgRC,1000,1300,1000,03456018,32.115,35.615,35.615,NA,31001_2000,3.5,Quendorf,NA,NA,165.921875,1249.183452915295
DENILD800000jgRG,1000,1300,1000,03456018,31.412,34.705,35.204,2100,51009_1610,3.792,Quendorf,NA,NA,21.4111328125,70.5169966775762
DENILD800000gYJG,1000,1300,1000,03456010,32.021,35.743,39.276,3100,31001_2000,7.254,Isterberg,NA,NA,101.060546875,554.6718420881009
DENILD800000jeDj,1000,1300,1000,03456018,31.708,36.311,37.937,2100,31001_2720,6.229,Quendorf,NA,NA,280.490234375,1291.0982880631432
DENILD800000a2af,1000,1300,1000,03456018,30.965,34.465,34.465,NA,31001_2000,3.5,Quendorf,NA,NA,280.48828125,1291.0982880631432
DENILD800000a21E,1000,1300,1000,03456018,31.542,35.705,43.814,3100,31001_2720,12.271,Quendorf,NA,NA,539.48046875,4459.538472305147
DENILD800000hRle,1000,1300,1000,03456018,31.813,34.973,41.068,3100,31001_2720,9.255,Quendorf,NA,NA,200.0205078125,1241.9495703563543
DENILD800000a22G,1000,1300,1000,03456018,31.045,33.805,34.767,3100,31001_2720,3.722,Quendorf,NA,NA,23.6103515625,76.52702838374684
DENILD800000gYHB,1000,1300,1000,03456010,32.667,36.071,40.586,3100,31001_2000,7.918,Isterberg,NA,NA,118.9267578125,673.5629069350554
DENILD800000jeDh,1000,1300,1000,03456018,31.73,37.353,37.973,2100,51009_1610,6.243,Quendorf,NA,NA,135.033203125,759.2957056713224
DENILD800000gYQt,1000,1300,1000,03456010,32.224,36.511,40.298,3100,31001_2000,8.075,Isterberg,NA,NA,48.509765625,1669.1653956528485
DENILD800000gYFT,1000,1300,1000,03456010,31.52,37.271,40.289,3100,31001_1000,8.769,Isterberg,10,Laudiek,3.37890625,1137.319359942941
DENILD800000a2ap,1000,1300,1000,03456018,32.386,38.219,38.219,1000,31001_2100,5.833,Quendorf,NA,NA,381.7119140625,2226.5275630346555
DENILD800000a271,1000,1300,1000,03456018,31.928,35.21,35.21,1000,31001_2500,3.282,Quendorf,NA,NA,69.7509765625,228.9227803540806
DENILD800000orpT,1000,1300,1000,03456018,31.275,34.061,34.061,1000,51009_1610,2.786,Quendorf,NA,NA,1.958984375,5.455428187989049
DENILD800000a25i,1000,1300,1000,03456018,30.987,33.75,34.48,2100,31001_2720,3.493,Quendorf,NA,NA,64.63671875,178.6685895407479
DENILD800000a251,1000,1300,1000,03456018,30.599,34.099,34.099,NA,31001_2720,3.5,Quendorf,NA,NA,64.6328125,178.6685895407479
DENILD800000gYNX,1000,1300,1000,03456010,31.608,35.753,41.78,3100,31001_2720,10.172,Isterberg,NA,NA,274.8095703125,1967.4387375907825
DENILD800000hF71,1000,1300,1000,03456010,31.65,35.127,35.127,1000,31001_2000,3.477,Isterberg,NA,NA,81.095703125,281.969429015438
DENILD800000a27I,1000,1300,1000,03456018,31.745,36.131,37.959,2100,31001_2720,6.214,Quendorf,NA,NA,37.7353515625,661.6541838288103
